id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
300668,False,/vYs1YGalB8IEXxdxDtqkL0vfHjO.jpg,"[878, 27]",en,Annihilation,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",62.01900100708008,/1dRweZy8DxGDhJFqiOA4Ni3I1ie.jpg,2018-02-22,Annihilation,False,6.4070000648498535,8311
961323,False,/sidvlo7V8VMyskNKGwua0Tarbol.jpg,"[12, 16, 14, 10751]",en,Nimona,"A knight framed for a tragic crime teams with a scrappy, shape-shifting teen to prove his innocence.",75.81500244140625,/2NQljeavtfl22207D1kxLpa4LS3.jpg,2023-06-23,Nimona,False,7.936999797821045,925
335,False,/26SUDI2iKhZTIKcU4ZzezTH1G15.jpg,"[18, 37]",it,C'era una volta il West,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",43.97800064086914,/qbYgqOczabWNn2XKwgMtVrntD6P.jpg,1968-12-21,Once Upon a Time in the West,False,8.300000190734863,4109
11824,False,/d1RYJQcljAlSOwTizaGS3oWnPEk.jpg,"[35, 14, 10749]",en,Teen Wolf,When a shy teenager's new-found powers help him score at basketball - and with the popular girls - he has some pretty hairy decisions to make.,48.941001892089844,/bv9rY9eoue2Hat6tcvrKVQ0ow8v.jpg,1985-08-23,Teen Wolf,False,6.185999870300293,1070
1105407,False,/fUC5VsQcU3m6zmYMD96R7RqPuMn.jpg,"[28, 80, 53]",en,Damaged,"A Chicago detective travels to Scotland after an emerging serial killer’s crimes match those that he investigated five years earlier, one of which was the crime scene of his murdered girlfriend.",1127.177001953125,/tMO0YLXgJZBnIAjoTSz26zE33YN.jpg,2024-04-12,Damaged,False,5.573999881744385,27
502356,False,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,"[16, 10751, 12, 14, 35]",en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",284.0799865722656,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,The Super Mario Bros. Movie,False,7.678999900817871,8332
974931,False,/qjMDwBWbG5hAP43q3meplZFreFQ.jpg,"[35, 27, 878]",en,Totally Killer,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.",55.3849983215332,/52YBwGJ3cJs54fpBzwnT1lnqgTo.jpg,2023-09-28,Totally Killer,False,6.909999847412109,713
693158,False,/jm2kJQZRmYRzHJzB07oOOVDiQD1.jpg,"[878, 18]",en,Proximity,A young NASA JPL scientist is abducted by extraterrestrials but when no one believes his story he becomes obsessed with finding proof which leads him on a journey of discovery.,71.51000213623047,/nto7dx8vmqESDU484huGoSt4o48.jpg,2020-05-15,Proximity,False,6.531000137329102,261
14,False,/DztBnZaqmla2sGUW9s8AyOmskT.jpg,[18],en,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",106.50199890136719,/wby9315QzVKdW9BonAefg8jGTTb.jpg,1999-09-15,American Beauty,False,8.017999649047852,11663
775244,False,/m06dOSnShSmGfVgz4iSQhx6bzWv.jpg,"[28, 12, 878]",ar,موسى,"An engineering college student invents the first of its kind robot in the Middle East, in an attempt to avenge his father's death and achieve justice, which gets him pursued by the authorities.",54.21200180053711,/8MO3nkwF8dbsz7dC5rGZuP3m3RS.jpg,2021-08-11,Mousa,False,6.660999774932861,28
449574,False,/5QAc8dsyOwJBGQ71mhOLMEivOsF.jpg,"[16, 28, 878]",ja,GODZILLA 怪獣惑星,"A desperate group of refugees attempts to recolonize Earth 20,000 years after Godzilla took over. But one young man wants revenge above all else.",47.426998138427734,/hAuZ7g6TqDLv5fOqXIPgYRguOkm.jpg,2017-11-17,Godzilla: Planet of the Monsters,False,6.302000045776367,463
437342,False,/mIBG74mhGEJnBubhYLkCtvplcNr.jpg,[27],en,The First Omen,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",390.56201171875,/hil2ResSCwP95JweZVJsZ5CbZdc.jpg,2024-04-03,The First Omen,False,6.644999980926514,117
943134,False,/H41DJiw7Q8xn6bWC75eyaavp9L.jpg,"[878, 14, 12, 18]",fr,Le Règne animal,"In a world hit by a wave of mutations transforming humans into animals, François does everything he can to save his wife. As some of the creatures disappear into a nearby forest, he and their son Émile embark on a quest that will change their lives forever.",60.97100067138672,/iV1qSPEblmsXc1fhmF084X9Ivts.jpg,2023-10-04,The Animal Kingdom,False,7.099999904632568,466
262504,False,/qSP072apfe2EEcd5Qg9vGYy2OLw.jpg,"[12, 878, 28, 9648]",en,Allegiant,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,84.70099639892578,/ijpRQOwZzGy0vb3Uqmk2Naug1C0.jpg,2016-03-09,Allegiant,False,6.103000164031982,6402
450465,False,/ngBFDOsx13sFXiMweDoL54XYknR.jpg,"[53, 18, 878]",en,Glass,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",94.93099975585938,/svIDTNUoajS8dLEo7EosxvyAsgJ.jpg,2019-01-16,Glass,False,6.678999900817871,8100
235,False,/yjGllQUm28R4X9xD9T5xMszirgw.jpg,"[80, 18]",en,Stand by Me,"After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie,  Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.",99.12300109863281,/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,1986-08-08,Stand by Me,False,7.849999904632568,5598
324849,False,/eoMushgujydxFplE9yPZ54lwOvo.jpg,"[16, 28, 35, 10751]",en,The Lego Batman Movie,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",71.61699676513672,/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg,2017-02-08,The Lego Batman Movie,False,7.199999809265137,4792
424,False,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,"[18, 36, 10752]",en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,93.36699676513672,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,1993-12-15,Schindler's List,False,8.567000389099121,15320
977013,False,/yFEgCSBQr2xSu94bx96CW1YlqZn.jpg,"[27, 53]",en,Haunting of the Queen Mary,"When photographers Erin and Patrick are brought aboard the ship with their young son Lukas, they unleash a series of events that entwines their family with the ship’s dark past. As the terror unfolds around them they begin to realise there is more to this sumptuous ocean liner than meets the eye: its remarkable legacy masking violent secrets.",44.040000915527344,/3RFvrTSYBSDZWIprcFonf8dXg3R.jpg,2023-07-19,Haunting of the Queen Mary,False,5.23199987411499,127
28468,False,/9UoAp9XEfa9u9mKNUeS2tRRYVEZ.jpg,"[18, 10749]",it,La chiave,"Art professor Nino Rolfe attempts to break down his wife Teresa's conventional modesty. Noticing her affection for their daughter's fiancé, Nino instigates her sexual interest in him - setting off a chain of unexpected events and emotional complications...",62.2869987487793,/e6g2geNLgFzMbriH6EvSJZD78nx.jpg,1983-10-19,The Key,False,6.0,378
889737,False,/mraxhuBdLzK4Ai46fwr7erji4je.jpg,"[18, 80, 53]",en,Joker: Folie à Deux,A sequel to the 2019 film Joker.,79.80699920654297,/aciP8Km0waTLXEYf5ybFK5CSUxl.jpg,2024-10-02,Joker: Folie à Deux,False,0.0,0
753342,False,/eHMh7kChaNeD4VTdMCXLJbRTzcI.jpg,"[36, 10752, 10749]",en,Napoleon,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",199.73599243164062,/vcZWJGvB5xydWuUO1vaTLI82tGi.jpg,2023-11-22,Napoleon,False,6.4770002365112305,2010
36419,False,/izrShBDbHduPU5YayZBI5ZTgZUy.jpg,"[18, 27, 9648, 53]",en,After.Life,"Following a terrible car crash, a woman awakes to find an enigmatic mortician preparing her for burial.",55.17900085449219,/ty43RTdSBpL3VjBJWeRoKhFg7hF.jpg,2009-11-07,After.Life,False,6.289999961853027,1066
426563,False,/5Zvu4SrY3p9qgnITkCn4jAQwKvB.jpg,"[9648, 12, 35, 80]",en,Holmes & Watson,"Detective Sherlock Holmes and Dr. John Watson join forces to investigate a murder at Buckingham Palace. They soon learn that they have only four days to solve the case, or the queen will become the next victim.",59.67499923706055,/orEUlKndjV1rEcWqXbbjegjfv97.jpg,2018-12-25,Holmes & Watson,False,4.281000137329102,812
1892,False,/psYeKwKclG4XaIop5suj1J0Kg2C.jpg,"[12, 28, 878]",en,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",67.39399719238281,/jQYlydvHm3kUix1f8prMucrplhm.jpg,1983-05-25,Return of the Jedi,False,7.896999835968018,15121
384521,False,/120mn0ZPhbDWISY2cmWSYUGWCzi.jpg,"[27, 878, 28]",en,The Cloverfield Paradox,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",67.38200378417969,/vJi2ExTcWdJR3150VPKqqtdGxsT.jpg,2018-02-04,The Cloverfield Paradox,False,5.6020002365112305,3114
